"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"shinyBS","shinyBS","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.61.1",NA,NA,"shiny (>= 0.11), htmltools",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"shinybusy","shinybusy","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.1",NA,NA,"htmltools, shiny, jsonlite, htmlwidgets",NA,"testthat, covr, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"shinydashboard","shinydashboard","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.7.2",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"shinyhelper","shinyhelper","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.2",NA,NA,"shiny, markdown",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"shinyjs","shinyjs","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"shinyWidgets","shinyWidgets","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.7.6",NA,"R (>= 3.1.0)","anytime, bslib, sass, shiny (>= 1.6.0), htmltools (>= 0.5.1),
jsonlite, grDevices, rlang",NA,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"showtext","showtext","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.9-5",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.2.3"
"showtextdb","showtextdb","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.2.3"
"simstudy","simstudy","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.6.0",NA,"R (>= 3.3.0)","data.table, glue, methods, mvnfast, Rcpp, backports","Rcpp, pbv (>= 0.4-22)","covr, dplyr, formatR, gee, ggplot2, grid, gridExtra,
hedgehog, knitr, magrittr, Matrix, mgcv, ordinal, pracma,
rmarkdown, scales, splines, survival, testthat, gtsummary,
survminer, katex",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"skimr","skimr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.1.5",NA,"R (>= 3.1.2)","cli, dplyr (>= 0.8.0), knitr (>= 1.2), magrittr (>= 1.5),
pillar (>= 1.6.4), purrr, repr, rlang (>= 0.3.1), stats,
stringr (>= 1.1), tibble (>= 2.0.0), tidyr (>= 1.0), tidyselect
(>= 1.0.0), vctrs",NA,"covr, crayon, data.table, dtplyr, extrafont, haven,
lubridate, rmarkdown, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"slam","slam","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1-50",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"slider","slider","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), rlang (>= 1.0.6), vctrs (>= 0.5.0), warp","vctrs (>= 0.5.0)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"slippymath","slippymath","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.1",NA,"R (>= 3.5.0)","raster, purrr, stats, png",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"sna","sna","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.7-1",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"snakecase","snakecase","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"SnowballC","SnowballC","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.7.0",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sodium","sodium","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.1",NA,NA,NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"sotu","sotu","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.4",NA,"R (>= 3.5.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"sourcetools","sourcetools","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"sp","sp","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.6-0",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"spacyr","spacyr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.1",NA,"R (>= 3.0.0), methods","data.table, reticulate (>= 1.6)",NA,"dplyr, knitr, quanteda, R.rsp, rmarkdown, spelling, testthat,
tidytext, tibble",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"spam","spam","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.9-1",NA,"R (>= 3.5)","dotCall64, grid, methods",NA,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"SparseM","SparseM","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatial","spatial","C:/Users/Carolina/AppData/Local/R/win-library/4.2","7.3-16","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"spData","spData","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.2.2",NA,"R (>= 3.3.0)","sp",NA,"foreign, sf (>= 0.9-1), spDataLarge (>= 0.4.0), spdep,
spatialreg,",NA,"CC0",NA,NA,NA,NA,"no","4.2.3"
"spdep","spdep","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2-8",NA,"R (>= 3.3.0), methods, spData (>= 0.2.6.0), sf","stats, deldir, boot (>= 1.3-1), graphics, utils, grDevices,
units, s2, e1071, sp (>= 1.0)",NA,"spatialreg (>= 1.2-1), Matrix, parallel, dbscan,
RColorBrewer, lattice, xtable, foreign, igraph, RSpectra,
knitr, classInt, tmap, spam, ggplot2, rmarkdown, tinytest,
rgeoda",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"spiderbar","spiderbar","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.5",NA,"R (>= 3.2.0)","Rcpp","Rcpp","covr, robotstxt, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"spikeslab","spikeslab","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.6",NA,"R (>= 3.6.0),","lars, randomForest, parallel",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.3"
"splus2R","splus2R","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3-3",NA,"R (>= 2.7.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"SQUAREM","SQUAREM","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"stargazer","stargazer","C:/Users/Carolina/AppData/Local/R/win-library/4.2","5.2.3",NA,NA,"stats, utils",NA,NA,"AER, betareg, brglm, censReg, dynlm, eha, erer, ergm, fGarch,
gee, glmx, gmm, lfe, lme4, lmtest, MASS, mclogit, mgcv, mlogit,
nlme, nnet, ordinal, plm, pscl, quantreg, rms, relevent,
robustbase, sampleSelection, spdep, survey, survival","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"statnet.common","statnet.common","C:/Users/Carolina/AppData/Local/R/win-library/4.2","4.8.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools",NA,"covr, rlang (>= 1.0.6)",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"stm","stm","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.6",NA,"R (>= 3.5.0), methods","Rcpp (>= 0.11.3), data.table, glmnet, grDevices, graphics,
lda, Matrix, matrixStats, parallel, quadprog, quanteda, slam,
splines, stats, stringr, utils","Rcpp, RcppArmadillo","clue, geometry, huge, igraph, LDAvis, KernSmooth, NLP, rsvd,
Rtsne, SnowballC, spelling, testthat, tm (>= 0.6), wordcloud",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"stmCorrViz","stmCorrViz","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3",NA,"R(>= 2.10.0)","jsonlite, stm, tm, SnowballC, stats, methods, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"stopwords","stopwords","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.3",NA,"R (>= 2.10)","ISOcodes",NA,"covr, quanteda, spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"streamR","streamR","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4.5",NA,"R (>= 2.12.0), RCurl, rjson, ndjson",NA,NA,"ROAuth (>= 0.9.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"stringdist","stringdist","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.9.10",NA,"R (>= 2.15.3)","parallel",NA,"tinytest",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"stringi","stringi","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.7.12",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.2.2"
"stringr","stringr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.5.0",NA,"R (>= 3.3)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"striprtf","striprtf","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.3",NA,"R (>= 3.0)","magrittr, Rcpp, stringr, utils","Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"styler","styler","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.9.1",NA,"R (>= 3.5.0)","cli (>= 3.1.1), magrittr (>= 2.0.0), purrr (>= 0.2.3), R.cache
(>= 0.15.0), rlang (>= 0.1.1), rprojroot (>= 1.1), tools, vctrs
(>= 0.4.1), withr (>= 2.3.0),",NA,"data.tree (>= 0.1.6), digest, dplyr, here, knitr, prettycode,
rmarkdown, roxygen2, rstudioapi (>= 0.7), tibble (>= 1.4.2),
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"survey","survey","C:/Users/Carolina/AppData/Local/R/win-library/4.2","4.1-1",NA,"R (>= 3.5.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4)",NA,"foreign, MASS, KernSmooth, hexbin, RSQLite, quantreg,
parallel, CompQuadForm, DBI, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.3"
"survival","survival","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.5-5","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"svglite","svglite","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.1.1",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat, xml2 (>= 1.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"svMisc","svMisc","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.3",NA,"R (>= 2.13.0)","utils, methods, stats, tools",NA,"rJava, tcltk, covr, knitr, markdown, rmarkdown, testthat,
spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"svSocket","svSocket","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.0",NA,"R (>= 2.6.0)","tcltk, svMisc (>= 0.9-68), utils",NA,"svHttp, spelling, covr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"swagger","swagger","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.33.1",NA,NA,NA,NA,"jsonlite, plumber, testthat",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"sylly","sylly","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1-6",NA,"R (>= 3.0.0)","methods",NA,"testthat,knitr,rmarkdown,sylly.de,sylly.en,sylly.es",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"sylly.en","sylly.en","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1-3",NA,"R (>= 3.1),sylly",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"sys","sys","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.4.1",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"sysfonts","sysfonts","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.8.8",NA,NA,NA,NA,"curl, jsonlite",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"systemfonts","systemfonts","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.4",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"syuzhet","syuzhet","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.6",NA,"R (>= 3.5.0)","textshape (>= 1.3.0), NLP, zoo, dtt, stats, graphics, dplyr,
tidyr, rlang",NA,"devtools, knitr, pander, parallel, readxl, rmarkdown,
stringr, testthat (>= 0.9.1)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"tau","tau","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.0-24",NA,"R (>= 2.10)",NA,NA,"tm",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"tcltk2","tcltk2","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2-11",NA,"R (>= 2.8.0), tcltk",NA,NA,"utils",NA,"LGPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"terra","terra","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.7-23",NA,"R (>= 3.5.0)","methods, Rcpp (>= 1.0-10)","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML,
leaflet, htmlwidgets",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.3"
"tesseract","tesseract","C:/Users/Carolina/AppData/Local/R/win-library/4.2","5.1.0",NA,NA,"Rcpp (>= 0.12.12), pdftools (>= 1.5), curl, rappdirs, digest","Rcpp","magick (>= 1.7), spelling, knitr, tibble, rmarkdown",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.2.3"
"testthat","testthat","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.1.7",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 3.4.0), desc, digest, ellipsis
(>= 0.2.0), evaluate, jsonlite, lifecycle, magrittr, methods,
pkgload, praise, processx, ps (>= 1.3.4), R6 (>= 2.2.0), rlang
(>= 1.0.1), utils, waldo (>= 0.4.0), withr (>= 2.4.3)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"textclean","textclean","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.9.3",NA,"R (>= 3.4.0)","data.table, english(>= 1.0-2), glue (>= 1.3.0), lexicon (>=
1.0.0), mgsub (>= 1.5.0), qdapRegex, stringi, textshape(>=
1.0.1), utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"textdata","textdata","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4.4",NA,NA,"fs, rappdirs, readr, tibble",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"textrecipes","textrecipes","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.2",NA,"R (>= 3.4), recipes (>= 1.0.0)","lifecycle, dplyr, generics (>= 0.1.0), magrittr, Matrix,
purrr, rlang, SnowballC, tibble, tokenizers, vctrs, glue","cpp11","covr, janitor, knitr, modeldata, rmarkdown, sentencepiece,
spacyr, stopwords, stringi, testthat (>= 3.0.0), text2vec,
textfeatures (>= 0.3.3), tokenizers.bpe, udpipe, wordpiece",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"textshape","textshape","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.7.3",NA,"R (>= 3.4.0)","data.table, slam, stats, stringi, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"textshaping","textshaping","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.6",NA,"R (>= 3.2.0)","systemfonts (>= 1.0.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"textstem","textstem","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.4",NA,"R (>= 3.3.0), koRpus.lang.en","dplyr, hunspell, koRpus, lexicon (>= 0.4.1), quanteda (>=
0.99.12), SnowballC, stats, stringi, textclean, textshape,
utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"TH.data","TH.data","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1-1",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"dplyr, gdata, plyr, trtf, tram, rms, coin, ATR, multcomp,
gridExtra, vcd, colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"tibble","tibble","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.2.1",NA,"R (>= 3.4.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"tidygeocoder","tidygeocoder","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.5",NA,"R (>= 3.3.0)","tibble, dplyr, httr, jsonlite, lifecycle, progress",NA,"knitr, rmarkdown, ggplot2, ggrepel, maps, testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"tidygraph","tidygraph","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.3",NA,NA,"tibble, dplyr (>= 0.8.5), igraph (>= 1.3.0), magrittr, utils,
rlang, R6, tools, stats, tidyr, pillar, cli","cpp11","network, data.tree, ape, graph, methods, testthat, covr,
seriation, netrankr, influenceR, NetSwan",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"tidylog","tidylog","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.2",NA,NA,"dplyr, tidyr, glue, clisymbols",NA,"testthat, covr, forcats, knitr, rmarkdown, bench",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"tidymodels","tidymodels","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.0",NA,"R (>= 3.4)","broom (>= 1.0.0), cli (>= 3.3.0), conflicted (>= 1.1.0), dials
(>= 1.0.0), dplyr (>= 1.0.9), ggplot2 (>= 3.3.6), hardhat (>=
1.2.0), infer (>= 1.0.2), modeldata (>= 1.0.0), parsnip (>=
1.0.0), purrr (>= 0.3.4), recipes (>= 1.0.1), rlang (>= 1.0.3),
rsample (>= 1.0.0), rstudioapi (>= 0.13), tibble (>= 3.1.7),
tidyr (>= 1.2.0), tune (>= 1.0.0), workflows (>= 1.0.0),
workflowsets (>= 1.0.0), yardstick (>= 1.0.0)",NA,"covr, glue, knitr, rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"tidyr","tidyr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.0.4), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"tidyselect","tidyselect","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.0",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"tidytext","tidytext","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4.1",NA,"R (>= 2.10)","cli, dplyr, generics, janeaustenr, lifecycle, Matrix, methods,
purrr (>= 0.1.1), rlang (>= 0.4.10), stringr, tibble,
tokenizers, vctrs",NA,"broom, covr, data.table, ggplot2, hunspell, knitr, mallet,
NLP, quanteda, readr, reshape2, rmarkdown, scales, stm,
stopwords, testthat (>= 2.1.0), textdata, tidyr, tm,
topicmodels, vdiffr, wordcloud",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"tidytuesdayR","tidytuesdayR","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.2",NA,"R (>= 3.4.0)","readxl (>= 1.0.0), rvest (>= 0.3.2), tools (>= 3.1.0),
lubridate (>= 1.7.0), purrr (>= 0.2.5), readr (>= 1.0.0),
rstudioapi (>= 0.2), xml2 (>= 1.2.0), httr, jsonlite, magrittr,
usethis",NA,"testthat (>= 2.1.0), covr, pkgdown, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"tidyverse","tidyverse","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"timechange","timechange","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"timeDate","timeDate","C:/Users/Carolina/AppData/Local/R/win-library/4.2","4022.108",NA,"R (>= 3.6.0)","graphics, utils, stats, methods",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"tinytex","tinytex","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.44",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"tm","tm","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.7-11",NA,"R (>= 3.2.0), NLP (>= 0.2-0)","Rcpp, parallel, slam (>= 0.1-37), stats, tools, utils,
graphics, xml2","BH, Rcpp","antiword, filehash, methods, pdftools, Rcampdf, Rgraphviz,
Rpoppler, SnowballC, testthat, tm.lexicon.GeneralInquirer",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"todor","todor","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 3.3)","stringr, rex, rstudioapi, R.utils",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
